"Teams","Game","Points","Conference","MaxPoints","MinPoints","MaxFinal","PointsLessGames","MaxPointsLessGames","MinPointsLessGames","MaxFinalLessGames"
"Northern Colorado",14,29,"East",29,29,83,15,15,15,69
"One Knoxville",14,20,"East",20,20,74,6,6,6,60
"Richmond Kickers",14,20,"East",20,20,74,6,6,6,60
"Tormenta",14,15,"East",15,15,69,1,1,1,55
"Union Omaha",14,19,"East",19,19,73,5,5,5,59
"Central Valley Fuego",15,10,"East",10,10,61,-5,-5,-5,46
"Charlotte Independence",15,23,"East",23,23,74,8,8,8,59
"Chattanooga Red Wolves",15,12,"East",12,12,63,-3,-3,-3,48
"Forward Madison",15,25,"East",25,25,76,10,10,10,61
"Greenville Triumph",15,22,"East",22,22,73,7,7,7,58
"Lexington",15,14,"East",14,14,65,-1,-1,-1,50
"North Carolina",15,27,"East",27,27,78,12,12,12,63
"Northern Colorado",15,32,"East",32,32,83,17,17,17,68
"One Knoxville",15,21,"East",21,21,72,6,6,6,57
"Richmond Kickers",15,21,"East",21,21,72,6,6,6,57
"Tormenta",15,18,"East",18,18,69,3,3,3,54
"Union Omaha",15,22,"East",22,22,73,7,7,7,58
"Central Valley Fuego",16,13,"East",13,13,61,-3,-3,-3,45
"Charlotte Independence",16,23,"East",23,23,71,7,7,7,55
"Chattanooga Red Wolves",16,13,"East",13,13,61,-3,-3,-3,45
"Forward Madison",16,28,"East",28,28,76,12,12,12,60
"Greenville Triumph",16,25,"East",25,25,73,9,9,9,57
"Lexington",16,14,"East",14,14,62,-2,-2,-2,46
"North Carolina",16,28,"East",28,28,76,12,12,12,60
"Northern Colorado",16,35,"East",35,35,83,19,19,19,67
"One Knoxville",16,22,"East",22,22,70,6,6,6,54
"Richmond Kickers",16,24,"East",24,24,72,8,8,8,56
"Tormenta",16,21,"East",21,21,69,5,5,5,53
"Union Omaha",16,22,"East",22,22,70,6,6,6,54
"Central Valley Fuego",17,16,"East",16,16,61,-1,-1,-1,44
"Charlotte Independence",17,26,"East",26,26,71,9,9,9,54
"Chattanooga Red Wolves",17,13,"East",13,13,58,-4,-4,-4,41
"Forward Madison",17,29,"East",29,29,74,12,12,12,57
"Greenville Triumph",17,25,"East",25,25,70,8,8,8,53
"Lexington",17,14,"East",14,14,59,-3,-3,-3,42
"North Carolina",17,NA,"East",31,28,76,NA,14,11,59
"Northern Colorado",17,NA,"East",38,35,83,NA,21,18,66
"One Knoxville",17,22,"East",22,22,67,5,5,5,50
"Richmond Kickers",17,24,"East",24,24,69,7,7,7,52
"Tormenta",17,21,"East",21,21,66,4,4,4,49
"Union Omaha",17,25,"East",25,25,70,8,8,8,53
"Central Valley Fuego",18,NA,"East",19,16,61,NA,1,-2,43
"Charlotte Independence",18,27,"East",27,27,69,9,9,9,51
"Chattanooga Red Wolves",18,16,"East",16,16,58,-2,-2,-2,40
"Forward Madison",18,NA,"East",32,29,74,NA,14,11,56
"Greenville Triumph",18,28,"East",28,28,70,10,10,10,52
"Lexington",18,17,"East",17,17,59,-1,-1,-1,41
"North Carolina",18,NA,"East",34,28,76,NA,16,10,58
"Northern Colorado",18,NA,"East",41,35,83,NA,23,17,65
"One Knoxville",18,22,"East",22,22,64,4,4,4,46
"Richmond Kickers",18,25,"East",25,25,67,7,7,7,49
"Tormenta",18,NA,"East",24,21,66,NA,6,3,48
"Union Omaha",18,25,"East",25,25,67,7,7,7,49
"Central Valley Fuego",19,NA,"East",22,16,61,NA,3,-3,42
"Charlotte Independence",19,30,"East",30,30,69,11,11,11,50
"Chattanooga Red Wolves",19,NA,"East",19,16,58,NA,0,-3,39
"Forward Madison",19,NA,"East",35,29,74,NA,16,10,55
"Greenville Triumph",19,NA,"East",31,28,70,NA,12,9,51
"Lexington",19,NA,"East",20,17,59,NA,1,-2,40
"North Carolina",19,NA,"East",37,28,76,NA,18,9,57
"Northern Colorado",19,NA,"East",44,35,83,NA,25,16,64
"One Knoxville",19,22,"East",22,22,61,3,3,3,42
"Richmond Kickers",19,25,"East",25,25,64,6,6,6,45
"Tormenta",19,NA,"East",27,21,66,NA,8,2,47
"Union Omaha",19,NA,"East",28,25,67,NA,9,6,48
"Central Valley Fuego",20,NA,"East",25,16,61,NA,5,-4,41
"Charlotte Independence",20,30,"East",30,30,66,10,10,10,46
"Chattanooga Red Wolves",20,NA,"East",22,16,58,NA,2,-4,38
"Forward Madison",20,NA,"East",38,29,74,NA,18,9,54
"Greenville Triumph",20,NA,"East",34,28,70,NA,14,8,50
"Lexington",20,NA,"East",23,17,59,NA,3,-3,39
"North Carolina",20,NA,"East",40,28,76,NA,20,8,56
"Northern Colorado",20,NA,"East",47,35,83,NA,27,15,63
