"Teams","Game","Points","Conference","MaxPoints","MinPoints","MaxFinal","PointsLessGames","MaxPointsLessGames","MinPointsLessGames","MaxFinalLessGames"
"Minnesota United",11,12,"West",12,12,81,1,1,1,70
"Montreal Impact",11,9,"East",9,9,78,-2,-2,-2,67
"New England Rev.",11,17,"East",17,17,86,6,6,6,75
"New York City FC",11,21,"East",21,21,90,10,10,10,79
"New York Red Bulls",11,22,"East",22,22,91,11,11,11,80
"Orlando City",11,19,"East",19,19,88,8,8,8,77
"Philadelphia Union",11,14,"East",14,14,83,3,3,3,72
"Portland Timbers",11,20,"West",20,20,89,9,9,9,78
"Real Salt Lake",11,13,"West",13,13,82,2,2,2,71
"San Jose Earthquakes",11,9,"West",9,9,78,-2,-2,-2,67
"Seattle Sounders FC",11,8,"West",8,8,77,-3,-3,-3,66
"Sporting Kansas City",11,23,"West",23,23,92,12,12,12,81
"Toronto FC",11,10,"East",10,10,79,-1,-1,-1,68
"Vancouver Whitecaps",11,14,"West",14,14,83,3,3,3,72
"Atlanta United",12,25,"East",25,25,91,13,13,13,79
"Chicago Fire",12,14,"East",14,14,80,2,2,2,68
"Colorado Rapids",12,8,"West",8,8,74,-4,-4,-4,62
"Columbus Crew",12,21,"East",21,21,87,9,9,9,75
"DC United",12,10,"East",10,10,76,-2,-2,-2,64
"FC Dallas",12,23,"West",23,23,89,11,11,11,77
"Houston Dynamo",12,18,"West",18,18,84,6,6,6,72
"LA Galaxy",12,16,"West",16,16,82,4,4,4,70
"Los Angeles FC",12,21,"West",21,21,87,9,9,9,75
"Minnesota United",12,13,"West",13,13,79,1,1,1,67
"Montreal Impact",12,9,"East",9,9,75,-3,-3,-3,63
"New England Rev.",12,18,"East",18,18,84,6,6,6,72
"New York City FC",12,24,"East",24,24,90,12,12,12,78
"New York Red Bulls",12,22,"East",22,22,88,10,10,10,76
"Orlando City",12,19,"East",19,19,85,7,7,7,73
"Philadelphia Union",12,15,"East",15,15,81,3,3,3,69
"Portland Timbers",12,21,"West",21,21,87,9,9,9,75
"Real Salt Lake",12,16,"West",16,16,82,4,4,4,70
"San Jose Earthquakes",12,9,"West",9,9,75,-3,-3,-3,63
"Seattle Sounders FC",12,11,"West",11,11,77,-1,-1,-1,65
"Sporting Kansas City",12,24,"West",24,24,90,12,12,12,78
"Toronto FC",12,11,"East",11,11,77,-1,-1,-1,65
"Vancouver Whitecaps",12,15,"West",15,15,81,3,3,3,69
"Atlanta United",13,26,"East",26,26,89,13,13,13,76
"Chicago Fire",13,14,"East",14,14,77,1,1,1,64
"Colorado Rapids",13,8,"West",8,8,71,-5,-5,-5,58
"Columbus Crew",13,24,"East",24,24,87,11,11,11,74
"DC United",13,10,"East",10,10,73,-3,-3,-3,60
"FC Dallas",13,26,"West",26,26,89,13,13,13,76
"Houston Dynamo",13,18,"West",18,18,81,5,5,5,68
"LA Galaxy",13,16,"West",16,16,79,3,3,3,66
"Los Angeles FC",13,21,"West",21,21,84,8,8,8,71
"Minnesota United",13,16,"West",16,16,79,3,3,3,66
"Montreal Impact",13,9,"East",9,9,72,-4,-4,-4,59
"New England Rev.",13,19,"East",19,19,82,6,6,6,69
"New York City FC",13,24,"East",24,24,87,11,11,11,74
"New York Red Bulls",13,23,"East",23,23,86,10,10,10,73
"Orlando City",13,19,"East",19,19,82,6,6,6,69
"Philadelphia Union",13,18,"East",18,18,81,5,5,5,68
"Portland Timbers",13,22,"West",22,22,85,9,9,9,72
"Real Salt Lake",13,19,"West",19,19,82,6,6,6,69
"San Jose Earthquakes",13,9,"West",9,9,72,-4,-4,-4,59
"Seattle Sounders FC",13,11,"West",11,11,74,-2,-2,-2,61
"Sporting Kansas City",13,25,"West",25,25,88,12,12,12,75
"Toronto FC",13,14,"East",14,14,77,1,1,1,64
"Vancouver Whitecaps",13,16,"West",16,16,79,3,3,3,66
"Atlanta United",14,29,"East",29,29,89,15,15,15,75
"Chicago Fire",14,17,"East",17,17,77,3,3,3,63
"Colorado Rapids",14,9,"West",9,9,69,-5,-5,-5,55
"Columbus Crew",14,25,"East",25,25,85,11,11,11,71
"DC United",14,11,"East",11,11,71,-3,-3,-3,57
"FC Dallas",14,29,"West",29,29,89,15,15,15,75
"Houston Dynamo",14,21,"West",21,21,81,7,7,7,67
"LA Galaxy",14,17,"West",17,17,77,3,3,3,63
"Los Angeles FC",14,24,"West",24,24,84,10,10,10,70
"Minnesota United",14,16,"West",16,16,76,2,2,2,62
"Montreal Impact",14,12,"East",12,12,72,-2,-2,-2,58
"New England Rev.",14,22,"East",22,22,82,8,8,8,68
"New York City FC",14,27,"East",27,27,87,13,13,13,73
"New York Red Bulls",14,26,"East",26,26,86,12,12,12,72
"Orlando City",14,19,"East",19,19,79,5,5,5,65
"Philadelphia Union",14,18,"East",18,18,78,4,4,4,64
"Portland Timbers",14,23,"West",23,23,83,9,9,9,69
"Real Salt Lake",14,22,"West",22,22,82,8,8,8,68
"San Jose Earthquakes",14,9,"West",9,9,69,-5,-5,-5,55
"Seattle Sounders FC",14,12,"West",12,12,72,-2,-2,-2,58
"Sporting Kansas City",14,28,"West",28,28,88,14,14,14,74
"Toronto FC",14,15,"East",15,15,75,1,1,1,61
"Vancouver Whitecaps",14,17,"West",17,17,77,3,3,3,63
"Atlanta United",15,30,"East",30,30,87,15,15,15,72
"Chicago Fire",15,18,"East",18,18,75,3,3,3,60
"Colorado Rapids",15,12,"West",12,12,69,-3,-3,-3,54
"Columbus Crew",15,26,"East",26,26,83,11,11,11,68
"DC United",15,14,"East",14,14,71,-1,-1,-1,56
"FC Dallas",15,29,"West",29,29,86,14,14,14,71
"Houston Dynamo",15,21,"West",21,21,78,6,6,6,63
"LA Galaxy",15,20,"West",20,20,77,5,5,5,62
"Los Angeles FC",15,27,"West",27,27,84,12,12,12,69
"Minnesota United",15,16,"West",16,16,73,1,1,1,58
"Montreal Impact",15,12,"East",12,12,69,-3,-3,-3,54
"New England Rev.",15,23,"East",23,23,80,8,8,8,65
"New York City FC",15,28,"East",28,28,85,13,13,13,70
"New York Red Bulls",15,29,"East",29,29,86,14,14,14,71
"Orlando City",15,19,"East",19,19,76,4,4,4,61
"Philadelphia Union",15,18,"East",18,18,75,3,3,3,60
"Portland Timbers",15,26,"West",26,26,83,11,11,11,68
"Real Salt Lake",15,22,"West",22,22,79,7,7,7,64
"San Jose Earthquakes",15,10,"West",10,10,67,-5,-5,-5,52
"Seattle Sounders FC",15,12,"West",12,12,69,-3,-3,-3,54
"Sporting Kansas City",15,29,"West",29,29,86,14,14,14,71
"Toronto FC",15,15,"East",15,15,72,0,0,0,57
"Vancouver Whitecaps",15,20,"West",20,20,77,5,5,5,62
"Atlanta United",16,33,"East",33,33,87,17,17,17,71
"Chicago Fire",16,19,"East",19,19,73,3,3,3,57
"Colorado Rapids",16,15,"West",15,15,69,-1,-1,-1,53
"Columbus Crew",16,27,"East",27,27,81,11,11,11,65
"DC United",16,14,"East",14,14,68,-2,-2,-2,52
"FC Dallas",16,32,"West",32,32,86,16,16,16,70
"Houston Dynamo",16,22,"West",22,22,76,6,6,6,60
"LA Galaxy",16,21,"West",21,21,75,5,5,5,59
"Los Angeles FC",16,30,"West",30,30,84,14,14,14,68
"Minnesota United",16,16,"West",16,16,70,0,0,0,54
"Montreal Impact",16,15,"East",15,15,69,-1,-1,-1,53
"New England Rev.",16,24,"East",24,24,78,8,8,8,62
"New York City FC",16,31,"East",31,31,85,15,15,15,69
"New York Red Bulls",16,32,"East",32,32,86,16,16,16,70
"Orlando City",16,19,"East",19,19,73,3,3,3,57
"Philadelphia Union",16,21,"East",21,21,75,5,5,5,59
"Portland Timbers",16,29,"West",29,29,83,13,13,13,67
"Real Salt Lake",16,23,"West",23,23,77,7,7,7,61
"San Jose Earthquakes",16,11,"West",11,11,65,-5,-5,-5,49
"Seattle Sounders FC",16,15,"West",15,15,69,-1,-1,-1,53
"Sporting Kansas City",16,32,"West",32,32,86,16,16,16,70
"Toronto FC",16,15,"East",15,15,69,-1,-1,-1,53
"Vancouver Whitecaps",16,23,"West",23,23,77,7,7,7,61
"Atlanta United",17,34,"East",34,34,85,17,17,17,68
"Chicago Fire",17,20,"East",20,20,71,3,3,3,54
"Colorado Rapids",17,15,"West",15,15,66,-2,-2,-2,49
"Columbus Crew",17,27,"East",27,27,78,10,10,10,61
"DC United",17,14,"East",14,14,65,-3,-3,-3,48
"FC Dallas",17,35,"West",35,35,86,18,18,18,69
"Houston Dynamo",17,25,"West",25,25,76,8,8,8,59
"LA Galaxy",17,22,"West",22,22,73,5,5,5,56
"Los Angeles FC",17,31,"West",31,31,82,14,14,14,65
"Minnesota United",17,19,"West",19,19,70,2,2,2,53
"Montreal Impact",17,18,"East",18,18,69,1,1,1,52
"New England Rev.",17,27,"East",27,27,78,10,10,10,61
"New York City FC",17,31,"East",31,31,82,14,14,14,65
"New York Red Bulls",17,32,"East",32,32,83,15,15,15,66
"Orlando City",17,19,"East",19,19,70,2,2,2,53
"Philadelphia Union",17,21,"East",21,21,72,4,4,4,55
"Portland Timbers",17,30,"West",30,30,81,13,13,13,64
"Real Salt Lake",17,23,"West",23,23,74,6,6,6,57
"San Jose Earthquakes",17,12,"West",12,12,63,-5,-5,-5,46
"Seattle Sounders FC",17,16,"West",16,16,67,-1,-1,-1,50
"Sporting Kansas City",17,32,"West",32,32,83,15,15,15,66
"Toronto FC",17,15,"East",15,15,66,-2,-2,-2,49
"Vancouver Whitecaps",17,23,"West",23,23,74,6,6,6,57
"Atlanta United",18,37,"East",37,37,85,19,19,19,67
"Chicago Fire",18,23,"East",23,23,71,5,5,5,53
"Colorado Rapids",18,15,"West",15,15,63,-3,-3,-3,45
"Columbus Crew",18,27,"East",27,27,75,9,9,9,57
"DC United",18,17,"East",17,17,65,-1,-1,-1,47
"FC Dallas",18,35,"West",35,35,83,17,17,17,65
"Houston Dynamo",18,26,"West",26,26,74,8,8,8,56
"LA Galaxy",18,25,"West",25,25,73,7,7,7,55
"Los Angeles FC",18,34,"West",34,34,82,16,16,16,64
"Minnesota United",18,19,"West",19,19,67,1,1,1,49
"Montreal Impact",18,21,"East",21,21,69,3,3,3,51
"New England Rev.",18,28,"East",28,28,76,10,10,10,58
"New York City FC",18,34,"East",34,34,82,16,16,16,64
"New York Red Bulls",18,35,"East",35,35,83,17,17,17,65
"Orlando City",18,19,"East",19,19,67,1,1,1,49
"Philadelphia Union",18,21,"East",21,21,69,3,3,3,51
"Portland Timbers",18,31,"West",31,31,79,13,13,13,61
"Real Salt Lake",18,26,"West",26,26,74,8,8,8,56
"San Jose Earthquakes",18,12,"West",12,12,60,-6,-6,-6,42
"Seattle Sounders FC",18,17,"West",17,17,65,-1,-1,-1,47
"Sporting Kansas City",18,32,"West",32,32,80,14,14,14,62
"Toronto FC",18,16,"East",16,16,64,-2,-2,-2,46
"Vancouver Whitecaps",18,23,"West",23,23,71,5,5,5,53
"Atlanta United",19,37,"East",37,37,82,18,18,18,63
